9c	A/Human/New_Zealand/13CF5302/2013(H3N2)|A.3
9d	A/Human/Connecticut/Flu138/2013(H3N2)|A.3
9e	A/Human/Connecticut/Flu135/2013(H3N2)|A.3
9f	A/Human/Maryland/38_1/2012(H3N2)|A.3
a0	A/Human/Connecticut/Flu119/2013(H3N2)|A.3
a1	A/Human/Connecticut/Flu124/2013(H3N2)|A.3
a2	A/Human/Milano/69/2015(H3N2)|A.3.2
a3	A/Human/New_Zealand/13HB4992/2013(H3N2)|A.3
a4	A/Human/New_Zealand/13CF5280/2013(H3N2)|A.3
a5	A/Human/New_Zealand/13HB4978/2013(H3N2)|A.3
a6	A/Human/New_Zealand/13CF5174/2013(H3N2)|A.3
a7	A/Human/Parma/40/2014(H3N2)|A.3
a8	A/Human/Connecticut/Flu060/2012(H3N2)|A.3
a9	A/Human/Connecticut/Flu072/2012(H3N2)|A.3
aa	A/Human/Connecticut/Flu117/2013(H3N2)|A.3
ab	A/Human/Connecticut/Flu105/2013(H3N2)|A.3
ac	A/Human/Connecticut/Flu098/2013(H3N2)|A.3
ad	A/Human/Connecticut/Flu013/2012(H3N2)|A.3
ae	A/Human/Connecticut/Flu056/2012(H3N2)|A.3
af	A/Human/Connecticut/Flu025/2012(H3N2)|A.3
b0	A/Human/Dhaka/407746/2013(H3N2)|A.3
b1	A/Human/New_Zealand/13HB5267/2013(H3N2)|A.3
b2	A/Human/Maryland/70_5D/2013(H3N2)|A.3
b3	A/Human/Viamao/LACENRS-974/2015(H3N2)|A.3
b4	A/Human/California/NHRC_OID_BRD12633N/2019(H3N2)|C.1
b5	A/Human/New_York/7742/2018(H3N2)|C.1
b6	A/Human/King_County/WA-S27203/2019(H3N2)|C.1
b7	A/Human/Washington/WA-S27188/2019(H3N2)|C.1
b8	A/Swine/Italy/111522-1/2024(H3N2)|C.1
b9	A/Swine/Italy/31869-01/2025(H3N2)|C.1
ba	A/Human/King_County/WA-S27068/2019(H3N2)|C.1
bb	A/Human/Snohomish_County/WA-S27238/2019(H3N2)|C.1
bc	A/Human/Spokane_County/WA-S27066/2019(H3N2)|C.1
bd	A/Human/Washington/WA-S27246/2019(H3N2)|C.1
be	A/Human/New_York/PV48/2017(H3N2)|C
bf	A/Human/New_Zealand/16CF0457/2016(H3N2)|C
c0	A/Human/New_Zealand/16HB1816/2016(H3N2)|C
c1	A/Human/New_Zealand/16CF0563/2016(H3N2)|C
c2	A/Human/Indiana/29/2016(H3N2)|C
c3	A/Human/Wisconsin/65/2016(H3N2)|C
c4	A/Human/Ansan/D16/2012(H3N2)|A
c5	A/Human/Cambodia/V1221301/2011(H3N2)|A
c6	A/Human/Denmark/105/2010(H3N2)|unassigned
c7	A/Swine/Denmark/21-19158-3/2021(H3N2)|unassigned
c8	A/Swine/Hong_Kong/NS3559/2016(H3N2)|unassigned
c9	A/Human/New_York/376/2005(H3N2)|unassigned
ca	A/Human/New_York/204/2003(H3N2)|unassigned
cb	A/Swine/Korea/CAS05/2004(H3N2)|unassigned
cc	A/Human/South_Australia/85/2018(H3N2)|unassigned
cd	A/Swine/Manitoba/D0522/2017(H3N2)|unassigned
